Time,ObjectX,ObjectY,ObjectZ,CameraX,CameraY,CameraZ,Distance,DeltaDistance,InitialDistance
3.48,0.0000,1.5000,1.5000,-0.0153,1.5130,-0.0149,1.5151,0.0000,1.5151
3.58,0.0000,1.5000,1.5000,-0.0143,1.5147,-0.0167,1.5168,0.0017,1.5151
3.70,0.0000,1.5000,1.5000,-0.0127,1.5175,-0.0194,1.5195,0.0045,1.5151
3.83,0.0000,1.5000,1.5000,-0.0105,1.5208,-0.0238,1.5240,0.0089,1.5151
3.94,0.0000,1.5000,1.5000,-0.0088,1.5220,-0.0267,1.5268,0.0118,1.5151
4.07,0.0000,1.5000,1.5000,-0.0083,1.5223,-0.0288,1.5290,0.0139,1.5151
4.20,0.0000,1.5000,1.5000,-0.0084,1.5224,-0.0288,1.5290,0.0139,1.5151
4.33,0.0000,1.5000,1.5000,-0.0084,1.5224,-0.0278,1.5280,0.0129,1.5151
4.47,0.0000,1.5000,1.5000,-0.0082,1.5213,-0.0266,1.5268,0.0117,1.5151
4.60,0.0000,1.5000,1.5000,-0.0082,1.5206,-0.0257,1.5259,0.0108,1.5151
4.70,0.0000,1.5000,1.5000,-0.0080,1.5196,-0.0252,1.5254,0.0103,1.5151
4.80,0.0000,1.5000,1.5000,-0.0081,1.5197,-0.0250,1.5252,0.0101,1.5151
4.94,0.0000,1.5000,1.5000,-0.0098,1.5123,-0.0202,1.5203,0.0052,1.5151
5.07,0.0000,1.5000,1.5000,-0.0128,1.5036,-0.0136,1.5136,-0.0015,1.5151
5.20,0.0000,1.5000,1.5000,-0.0151,1.5001,-0.0058,1.5058,-0.0092,1.5151
5.30,0.0000,1.5000,1.5000,-0.0160,1.5006,-0.0033,1.5034,-0.0117,1.5151
5.40,0.0000,1.5000,1.5000,-0.0166,1.5005,-0.0021,1.5022,-0.0128,1.5151
5.53,0.0000,1.5000,1.5000,-0.0167,1.5002,-0.0037,1.5038,-0.0113,1.5151
5.63,0.0000,1.5000,1.5000,-0.0166,1.5013,-0.0061,1.5062,-0.0089,1.5151
5.77,0.0000,1.5000,1.5000,-0.0167,1.5027,-0.0081,1.5082,-0.0069,1.5151
5.87,0.0000,1.5000,1.5000,-0.0164,1.5028,-0.0089,1.5090,-0.0060,1.5151
6.00,0.0000,1.5000,1.5000,-0.0168,1.5031,-0.0092,1.5093,-0.0058,1.5151
6.10,0.0000,1.5000,1.5000,-0.0165,1.5025,-0.0084,1.5085,-0.0065,1.5151
6.23,0.0000,1.5000,1.5000,-0.0162,1.5029,-0.0078,1.5079,-0.0072,1.5151
6.37,0.0000,1.5000,1.5000,-0.0165,1.5028,-0.0075,1.5076,-0.0074,1.5151
6.50,0.0000,1.5000,1.5000,-0.0168,1.5034,-0.0082,1.5083,-0.0068,1.5151
6.63,0.0000,1.5000,1.5000,-0.0170,1.5035,-0.0091,1.5092,-0.0059,1.5151
6.73,0.0000,1.5000,1.5000,-0.0166,1.5039,-0.0093,1.5094,-0.0056,1.5151
6.87,0.0000,1.5000,1.5000,-0.0162,1.5048,-0.0097,1.5098,-0.0052,1.5151
7.00,0.0000,1.5000,1.5000,-0.0157,1.5056,-0.0103,1.5104,-0.0047,1.5151
7.10,0.0000,1.5000,1.5000,-0.0146,1.5078,-0.0115,1.5116,-0.0035,1.5151
7.23,0.0000,1.5000,1.5000,-0.0115,1.5129,-0.0152,1.5153,0.0002,1.5151
7.33,0.0000,1.5000,1.5000,-0.0090,1.5161,-0.0195,1.5196,0.0046,1.5151
7.43,0.0000,1.5000,1.5000,-0.0073,1.5198,-0.0247,1.5248,0.0098,1.5151
7.57,0.0000,1.5000,1.5000,-0.0067,1.5250,-0.0334,1.5336,0.0185,1.5151
7.67,0.0000,1.5000,1.5000,-0.0062,1.5272,-0.0388,1.5391,0.0240,1.5151
7.80,0.0000,1.5000,1.5000,-0.0059,1.5268,-0.0431,1.5433,0.0283,1.5151
7.90,0.0000,1.5000,1.5000,-0.0055,1.5191,-0.0399,1.5400,0.0249,1.5151
8.04,0.0000,1.5000,1.5000,-0.0060,1.5041,-0.0348,1.5348,0.0198,1.5151
8.17,0.0000,1.5000,1.5000,-0.0059,1.5016,-0.0269,1.5269,0.0118,1.5151
8.30,0.0000,1.5000,1.5000,-0.0040,1.5037,-0.0221,1.5221,0.0070,1.5151
8.44,0.0000,1.5000,1.5000,-0.0030,1.5075,-0.0185,1.5185,0.0034,1.5151
8.54,0.0000,1.5000,1.5000,-0.0030,1.5099,-0.0182,1.5182,0.0032,1.5151
8.67,0.0000,1.5000,1.5000,-0.0041,1.5130,-0.0218,1.5219,0.0068,1.5151
8.80,0.0000,1.5000,1.5000,-0.0061,1.5160,-0.0282,1.5283,0.0132,1.5151
8.90,0.0000,1.5000,1.5000,-0.0074,1.5179,-0.0337,1.5339,0.0188,1.5151
9.04,0.0000,1.5000,1.5000,-0.0082,1.5218,-0.0405,1.5407,0.0256,1.5151
9.14,0.0000,1.5000,1.5000,-0.0076,1.5235,-0.0442,1.5444,0.0293,1.5151
9.24,0.0000,1.5000,1.5000,-0.0063,1.5244,-0.0471,1.5473,0.0322,1.5151
9.37,0.0000,1.5000,1.5000,-0.0036,1.5292,-0.0523,1.5526,0.0375,1.5151
9.47,0.0000,1.5000,1.5000,-0.0040,1.5349,-0.0595,1.5599,0.0448,1.5151
9.57,0.0000,1.5000,1.5000,-0.0062,1.5345,-0.0647,1.5651,0.0500,1.5151
9.70,0.0000,1.5000,1.5000,-0.0031,1.5351,-0.0724,1.5728,0.0578,1.5151
9.84,0.0000,1.5000,1.5000,-0.0042,1.5360,-0.0883,1.5888,0.0737,1.5151
9.95,0.0000,1.5000,1.5000,-0.0076,1.5363,-0.1028,1.6032,0.0881,1.5151
10.10,0.0000,1.5000,1.5000,-0.0113,1.5360,-0.1188,1.6192,0.1042,1.5151
10.20,0.0000,1.5000,1.5000,-0.0152,1.5328,-0.1321,1.6325,0.1174,1.5151
10.30,0.0000,1.5000,1.5000,-0.0189,1.5309,-0.1416,1.6420,0.1269,1.5151
10.43,0.0000,1.5000,1.5000,-0.0257,1.5320,-0.1573,1.6578,0.1427,1.5151
10.57,0.0000,1.5000,1.5000,-0.0311,1.5345,-0.1771,1.6777,0.1626,1.5151
10.70,0.0000,1.5000,1.5000,-0.0354,1.5373,-0.1938,1.6946,0.1795,1.5151
10.83,0.0000,1.5000,1.5000,-0.0369,1.5392,-0.2055,1.7063,0.1913,1.5151
10.94,0.0000,1.5000,1.5000,-0.0383,1.5373,-0.2097,1.7106,0.1955,1.5151
11.07,0.0000,1.5000,1.5000,-0.0388,1.5347,-0.2132,1.7140,0.1989,1.5151
11.20,0.0000,1.5000,1.5000,-0.0401,1.5326,-0.2162,1.7170,0.2020,1.5151
11.34,0.0000,1.5000,1.5000,-0.0417,1.5323,-0.2158,1.7166,0.2015,1.5151
11.47,0.0000,1.5000,1.5000,-0.0417,1.5330,-0.2167,1.7176,0.2025,1.5151
11.60,0.0000,1.5000,1.5000,-0.0429,1.5365,-0.2176,1.7186,0.2035,1.5151
11.70,0.0000,1.5000,1.5000,-0.0433,1.5347,-0.2182,1.7191,0.2040,1.5151
11.80,0.0000,1.5000,1.5000,-0.0443,1.5353,-0.2201,1.7210,0.2059,1.5151
11.94,0.0000,1.5000,1.5000,-0.0444,1.5362,-0.2218,1.7228,0.2077,1.5151
12.04,0.0000,1.5000,1.5000,-0.0449,1.5353,-0.2236,1.7246,0.2095,1.5151
12.17,0.0000,1.5000,1.5000,-0.0473,1.5349,-0.2276,1.7286,0.2135,1.5151
12.27,0.0000,1.5000,1.5000,-0.0501,1.5366,-0.2297,1.7309,0.2158,1.5151
12.40,0.0000,1.5000,1.5000,-0.0558,1.5385,-0.2332,1.7345,0.2194,1.5151
12.53,0.0000,1.5000,1.5000,-0.0485,1.5474,-0.2377,1.7391,0.2240,1.5151
12.64,0.0000,1.5000,1.5000,-0.0458,1.5509,-0.2442,1.7456,0.2305,1.5151
12.77,0.0000,1.5000,1.5000,-0.0303,1.5555,-0.2543,1.7554,0.2404,1.5151
12.87,0.0000,1.5000,1.5000,-0.0219,1.5476,-0.2568,1.7576,0.2426,1.5151
13.00,0.0000,1.5000,1.5000,-0.0239,1.5298,-0.2467,1.7472,0.2321,1.5151
13.13,0.0000,1.5000,1.5000,-0.0330,1.5121,-0.2287,1.7290,0.2139,1.5151
13.23,0.0000,1.5000,1.5000,-0.0364,1.5172,-0.2195,1.7199,0.2049,1.5151
13.37,0.0000,1.5000,1.5000,-0.0382,1.5203,-0.2126,1.7132,0.1981,1.5151
13.47,0.0000,1.5000,1.5000,-0.0401,1.5215,-0.2107,1.7113,0.1962,1.5151
13.60,0.0000,1.5000,1.5000,-0.0399,1.5218,-0.2080,1.7086,0.1935,1.5151
13.73,0.0000,1.5000,1.5000,-0.0354,1.5371,-0.2088,1.7096,0.1945,1.5151
13.83,0.0000,1.5000,1.5000,-0.0264,1.5525,-0.2117,1.7127,0.1976,1.5151
13.97,0.0000,1.5000,1.5000,-0.0154,1.5988,-0.1998,1.7027,0.1877,1.5151
14.07,0.0000,1.5000,1.5000,-0.0050,1.6194,-0.1882,1.6924,0.1773,1.5151
14.20,0.0000,1.5000,1.5000,0.0525,1.6297,-0.1197,1.6257,0.1106,1.5151
14.30,0.0000,1.5000,1.5000,0.1071,1.5967,-0.0577,1.5644,0.0493,1.5151
14.44,0.0000,1.5000,1.5000,0.2038,1.5057,-0.0056,1.5193,0.0043,1.5151
14.57,0.0000,1.5000,1.5000,0.3051,1.3916,0.0412,1.4943,-0.0207,1.5151
14.67,0.0000,1.5000,1.5000,0.3765,1.3150,0.1044,1.4573,-0.0578,1.5151
14.77,0.0000,1.5000,1.5000,0.4451,1.2507,0.1716,1.4229,-0.0921,1.5151
14.90,0.0000,1.5000,1.5000,0.5432,1.1908,0.2587,1.3898,-0.1253,1.5151
15.00,0.0000,1.5000,1.5000,0.5676,1.1744,0.3229,1.3468,-0.1683,1.5151
15.13,0.0000,1.5000,1.5000,0.5996,1.1622,0.3947,1.3020,-0.2130,1.5151
15.27,0.0000,1.5000,1.5000,0.6265,1.1515,0.4695,1.2553,-0.2597,1.5151
15.40,0.0000,1.5000,1.5000,0.6071,1.1598,0.4182,1.2863,-0.2288,1.5151
